Tick 24290(24287), Delay 55 ms, IGT 20:14.349, RTA 28:12.080-28:12.135
Tick 24291(24288), Delay 44 ms, IGT 20:14.399, RTA 28:12.135-28:12.179
Tick 24754(24751), Delay 45 ms, IGT 20:37.549, RTA 28:35.284-28:35.329
Tick 24798(24795), Delay 172 ms, IGT 20:39.749, RTA 28:37.480-28:37.652
Tick 24799(24796), Delay 0 ms, IGT 20:39.799, RTA 28:37.652-28:37.652
Tick 24800(24797), Delay 1 ms, IGT 20:39.849, RTA 28:37.652-28:37.653
Tick 24801(24798), Delay 152 ms, IGT 20:39.899, RTA 28:37.653-28:37.805
Tick 24802(24799), Delay 1 ms, IGT 20:39.949, RTA 28:37.805-28:37.806
Tick 24803(24800), Delay 0 ms, IGT 20:39.999, RTA 28:37.806-28:37.806
Tick 24804(24801), Delay 27 ms, IGT 20:40.049, RTA 28:37.806-28:37.833
Tick 25022(25019), Delay 4600 ms, IGT 20:50.949, RTA 28:48.682-28:53.282
Tick 25111(25108), Delay 9333 ms, IGT 20:55.399, RTA 28:57.682-29:07.015
Tick 25217(25214), Delay 5834 ms, IGT 21:00.699, RTA 29:12.265-29:18.099
Tick 25657(25654), Delay 8701 ms, IGT 21:22.699, RTA 29:40.050-29:48.751
Tick 25783(25780), Delay 817 ms, IGT 21:28.999, RTA 29:55.000-29:55.817
Tick 25792(25789), Delay 665 ms, IGT 21:29.449, RTA 29:56.217-29:56.882
Tick 25804(25801), Delay 1549 ms, IGT 21:30.049, RTA 29:57.434-29:58.983
Tick 26259(26256), Delay 37835 ms, IGT 21:52.799, RTA 30:21.683-30:59.518
Tick 26764(26761), Delay 734 ms, IGT 22:18.049, RTA 31:24.718-31:25.452
Tick 26770(26767), Delay 1000 ms, IGT 22:18.349, RTA 31:25.702-31:26.702
Tick 26780(26777), Delay 450 ms, IGT 22:18.849, RTA 31:27.152-31:27.602
Tick 26799(26796), Delay 1050 ms, IGT 22:19.799, RTA 31:28.503-31:29.553
Tick 26817(26814), Delay 4684 ms, IGT 22:20.699, RTA 31:30.401-31:35.085
Tick 26824(26821), Delay 5151 ms, IGT 22:21.049, RTA 31:35.385-31:40.536
Tick 27824(27821), Delay 55 ms, IGT 23:11.049, RTA 32:30.481-32:30.536
Tick 27858(27855), Delay 45 ms, IGT 23:12.749, RTA 32:32.187-32:32.232
Tick 27872(27869), Delay 55 ms, IGT 23:13.449, RTA 32:32.882-32:32.937
Tick 27881(27878), Delay 45 ms, IGT 23:13.899, RTA 32:33.336-32:33.381
Tick 27882(27879), Delay 56 ms, IGT 23:13.949, RTA 32:33.381-32:33.437
Tick 27883(27880), Delay 45 ms, IGT 23:13.999, RTA 32:33.437-32:33.482
Tick 27936(27933), Delay 55 ms, IGT 23:16.649, RTA 32:36.081-32:36.136
Tick 27968(27965), Delay 55 ms, IGT 23:18.249, RTA 32:37.682-32:37.737
Tick 27969(27966), Delay 45 ms, IGT 23:18.299, RTA 32:37.737-32:37.782
Tick 27970(27967), Delay 55 ms, IGT 23:18.349, RTA 32:37.782-32:37.837
Tick 28096(28093), Delay 44 ms, IGT 23:24.649, RTA 32:44.087-32:44.131
Tick 28113(28110), Delay 55 ms, IGT 23:25.499, RTA 32:44.931-32:44.986
Tick 28268(28265), Delay 3916 ms, IGT 23:33.249, RTA 32:52.687-32:56.603
Tick 28298(28295), Delay 2732 ms, IGT 23:34.749, RTA 32:58.053-33:00.785
Tick 29146(29143), Delay 10001 ms, IGT 24:17.149, RTA 33:43.136-33:53.137
Tick 29306(29303), Delay 15500 ms, IGT 24:25.149, RTA 34:01.087-34:16.587
Tick 29621(29618), Delay 69301 ms, IGT 24:40.899, RTA 34:32.288-35:41.589
Tick 29665(29662), Delay 45 ms, IGT 24:43.099, RTA 35:43.740-35:43.785
Tick 29678(29675), Delay 55 ms, IGT 24:43.749, RTA 35:44.385-35:44.440
Tick 29904(29901), Delay 45 ms, IGT 24:55.049, RTA 35:55.690-35:55.735
Tick 29911(29908), Delay 55 ms, IGT 24:55.399, RTA 35:56.035-35:56.090
Tick 29912(29909), Delay 45 ms, IGT 24:55.449, RTA 35:56.090-35:56.135
Tick 29913(29910), Delay 55 ms, IGT 24:55.499, RTA 35:56.135-35:56.190
Tick 29914(29911), Delay 45 ms, IGT 24:55.549, RTA 35:56.190-35:56.235
Tick 29915(29912), Delay 55 ms, IGT 24:55.599, RTA 35:56.235-35:56.290
Tick 29916(29913), Delay 45 ms, IGT 24:55.649, RTA 35:56.290-35:56.335
Tick 30086(30083), Delay 45 ms, IGT 25:04.149, RTA 36:04.790-36:04.835
Tick 30280(30277), Delay 40 ms, IGT 25:13.849, RTA 36:14.490-36:14.530
Tick 30281(30278), Delay 59 ms, IGT 25:13.899, RTA 36:14.530-36:14.589
Tick 30556(30553), Delay 42633 ms, IGT 25:27.649, RTA 36:28.290-37:10.923
Tick 30881(30878), Delay 45 ms, IGT 25:43.899, RTA 37:27.125-37:27.170
Tick 30882(30879), Delay 55 ms, IGT 25:43.949, RTA 37:27.170-37:27.225
Tick 30913(30910), Delay 36 ms, IGT 25:45.499, RTA 37:28.724-37:28.760
Tick 30914(30911), Delay 62 ms, IGT 25:45.549, RTA 37:28.760-37:28.822
Tick 31568(31565), Delay 13935 ms, IGT 26:18.249, RTA 38:01.475-38:15.410
Tick 31800(31797), Delay 6966 ms, IGT 26:29.849, RTA 38:26.959-38:33.925
Tick 32496(32493), Delay 14650 ms, IGT 27:04.649, RTA 39:08.676-39:23.326
Tick 32615(32612), Delay 44600 ms, IGT 27:10.599, RTA 39:29.227-40:13.827
Tick 32787(32784), Delay 45 ms, IGT 27:19.199, RTA 40:22.378-40:22.423
Tick 32801(32798), Delay 55 ms, IGT 27:19.899, RTA 40:23.073-40:23.128
Tick 32815(32812), Delay 45 ms, IGT 27:20.599, RTA 40:23.778-40:23.823
Tick 32926(32923), Delay 45 ms, IGT 27:26.149, RTA 40:29.328-40:29.373
Tick 32932(32929), Delay 55 ms, IGT 27:26.449, RTA 40:29.623-40:29.678
Tick 33378(33375), Delay 1299 ms, IGT 27:48.749, RTA 40:51.928-40:53.227
Tick 33437(33434), Delay 1134 ms, IGT 27:51.699, RTA 40:56.128-40:57.262
Tick 33653(33650), Delay 2034 ms, IGT 28:02.499, RTA 41:08.012-41:10.046
Tick 33767(33764), Delay 62 ms, IGT 28:08.199, RTA 41:15.694-41:15.756
Tick 33768(33765), Delay 39 ms, IGT 28:08.249, RTA 41:15.756-41:15.795
Tick 33960(33957), Delay 3867 ms, IGT 28:17.849, RTA 41:25.345-41:29.212
Tick 34253(34250), Delay 74 ms, IGT 28:32.499, RTA 41:43.812-41:43.886
Tick 34254(34251), Delay 26 ms, IGT 28:32.549, RTA 41:43.886-41:43.912
Tick 34523(34520), Delay 65 ms, IGT 28:45.999, RTA 41:57.312-41:57.377
Tick 34524(34521), Delay 36 ms, IGT 28:46.049, RTA 41:57.377-41:57.413
Tick 34571(34568), Delay 34950 ms, IGT 28:48.399, RTA 41:59.713-42:34.663
Tick 34664(34661), Delay 4850 ms, IGT 28:53.049, RTA 42:39.263-42:44.113
Tick 34728(34725), Delay 582 ms, IGT 28:56.249, RTA 42:47.264-42:47.846
Tick 34922(34919), Delay 3801 ms, IGT 29:05.949, RTA 42:57.497-43:01.298
Tick 34939(34936), Delay 4516 ms, IGT 29:06.799, RTA 43:02.097-43:06.613
Tick 35075(35072), Delay 44 ms, IGT 29:13.599, RTA 43:13.365-43:13.409
Tick 35076(35073), Delay 57 ms, IGT 29:13.649, RTA 43:13.409-43:13.466
Tick 35105(35102), Delay 44 ms, IGT 29:15.099, RTA 43:14.868-43:14.912
Tick 35288(35285), Delay 383 ms, IGT 29:24.249, RTA 43:24.014-43:24.397
Tick 35298(35295), Delay 484 ms, IGT 29:24.749, RTA 43:24.847-43:25.331
Tick 35312(35309), Delay 482 ms, IGT 29:25.449, RTA 43:25.981-43:26.463
Tick 35325(35322), Delay 883 ms, IGT 29:26.099, RTA 43:27.064-43:27.947
