Tick 503(492), Delay 44 ms, IGT 00:24.558, RTA 00:35.731-00:35.775
Tick 504(493), Delay 57 ms, IGT 00:24.608, RTA 00:35.775-00:35.832
Tick 506(495), Delay 45 ms, IGT 00:24.708, RTA 00:35.881-00:35.926
Tick 509(498), Delay 56 ms, IGT 00:24.858, RTA 00:36.025-00:36.081
Tick 516(505), Delay 45 ms, IGT 00:25.208, RTA 00:36.381-00:36.426
Tick 532(521), Delay 44 ms, IGT 00:26.008, RTA 00:37.182-00:37.226
Tick 536(525), Delay 55 ms, IGT 00:26.208, RTA 00:37.376-00:37.431
Tick 544(533), Delay 55 ms, IGT 00:26.608, RTA 00:37.779-00:37.834
Tick 546(535), Delay 43 ms, IGT 00:26.708, RTA 00:37.884-00:37.927
Tick 548(537), Delay 58 ms, IGT 00:26.808, RTA 00:37.975-00:38.033
Tick 549(538), Delay 42 ms, IGT 00:26.858, RTA 00:38.033-00:38.075
Tick 550(539), Delay 55 ms, IGT 00:26.908, RTA 00:38.075-00:38.130
Tick 565(554), Delay 45 ms, IGT 00:27.658, RTA 00:38.832-00:38.877
Tick 579(568), Delay 44 ms, IGT 00:28.358, RTA 00:39.531-00:39.575
Tick 595(584), Delay 45 ms, IGT 00:29.158, RTA 00:40.330-00:40.375
Tick 626(615), Delay 45 ms, IGT 00:30.708, RTA 00:41.880-00:41.925
Tick 646(635), Delay 55 ms, IGT 00:31.708, RTA 00:42.876-00:42.931
Tick 702(691), Delay 55 ms, IGT 00:34.508, RTA 00:45.678-00:45.733
Tick 703(692), Delay 57 ms, IGT 00:34.558, RTA 00:45.733-00:45.790
Tick 704(693), Delay 43 ms, IGT 00:34.608, RTA 00:45.790-00:45.833
Tick 709(698), Delay 59 ms, IGT 00:34.858, RTA 00:46.029-00:46.088
Tick 710(699), Delay 57 ms, IGT 00:34.908, RTA 00:46.088-00:46.145
Tick 711(700), Delay 31 ms, IGT 00:34.958, RTA 00:46.145-00:46.176
Tick 712(701), Delay 58 ms, IGT 00:35.008, RTA 00:46.176-00:46.234
Tick 713(702), Delay 43 ms, IGT 00:35.058, RTA 00:46.234-00:46.277
Tick 718(707), Delay 45 ms, IGT 00:35.308, RTA 00:46.483-00:46.528
Tick 719(708), Delay 55 ms, IGT 00:35.358, RTA 00:46.528-00:46.583
Tick 720(709), Delay 45 ms, IGT 00:35.408, RTA 00:46.583-00:46.628
Tick 723(712), Delay 55 ms, IGT 00:35.558, RTA 00:46.729-00:46.784
Tick 726(715), Delay 43 ms, IGT 00:35.708, RTA 00:46.884-00:46.927
Tick 728(717), Delay 59 ms, IGT 00:35.808, RTA 00:46.976-00:47.035
Tick 734(723), Delay 44 ms, IGT 00:36.108, RTA 00:47.282-00:47.326
Tick 735(724), Delay 58 ms, IGT 00:36.158, RTA 00:47.326-00:47.384
Tick 737(726), Delay 44 ms, IGT 00:36.258, RTA 00:47.433-00:47.477
Tick 744(733), Delay 58 ms, IGT 00:36.608, RTA 00:47.777-00:47.835
Tick 758(747), Delay 45 ms, IGT 00:37.308, RTA 00:48.482-00:48.527
Tick 759(748), Delay 58 ms, IGT 00:37.358, RTA 00:48.527-00:48.585
Tick 760(749), Delay 45 ms, IGT 00:37.408, RTA 00:48.585-00:48.630
Tick 765(754), Delay 41 ms, IGT 00:37.658, RTA 00:48.835-00:48.876
Tick 766(755), Delay 55 ms, IGT 00:37.708, RTA 00:48.876-00:48.931
Tick 767(756), Delay 55 ms, IGT 00:37.758, RTA 00:48.931-00:48.986
Tick 768(757), Delay 44 ms, IGT 00:37.808, RTA 00:48.986-00:49.030
Tick 772(761), Delay 45 ms, IGT 00:38.008, RTA 00:49.181-00:49.226
Tick 773(762), Delay 56 ms, IGT 00:38.058, RTA 00:49.226-00:49.282
Tick 785(774), Delay 55 ms, IGT 00:38.658, RTA 00:49.829-00:49.884
Tick 786(775), Delay 45 ms, IGT 00:38.708, RTA 00:49.884-00:49.929
Tick 793(782), Delay 56 ms, IGT 00:39.058, RTA 00:50.227-00:50.283
Tick 795(784), Delay 45 ms, IGT 00:39.158, RTA 00:50.332-00:50.377
Tick 796(785), Delay 57 ms, IGT 00:39.208, RTA 00:50.377-00:50.434
Tick 804(793), Delay 56 ms, IGT 00:39.608, RTA 00:50.778-00:50.834
Tick 806(795), Delay 72 ms, IGT 00:39.708, RTA 00:50.881-00:50.953
Tick 807(796), Delay 30 ms, IGT 00:39.758, RTA 00:50.953-00:50.983
Tick 809(798), Delay 56 ms, IGT 00:39.858, RTA 00:51.029-00:51.085
Tick 811(800), Delay 45 ms, IGT 00:39.958, RTA 00:51.132-00:51.177
Tick 812(801), Delay 58 ms, IGT 00:40.008, RTA 00:51.177-00:51.235
Tick 818(807), Delay 44 ms, IGT 00:40.308, RTA 00:51.481-00:51.525
Tick 819(808), Delay 55 ms, IGT 00:40.358, RTA 00:51.525-00:51.580
Tick 827(816), Delay 45 ms, IGT 00:40.758, RTA 00:51.933-00:51.978
Tick 828(817), Delay 55 ms, IGT 00:40.808, RTA 00:51.978-00:52.033
Tick 830(819), Delay 45 ms, IGT 00:40.908, RTA 00:52.080-00:52.125
Tick 831(820), Delay 59 ms, IGT 00:40.958, RTA 00:52.125-00:52.184
Tick 834(823), Delay 55 ms, IGT 00:41.108, RTA 00:52.278-00:52.333
Tick 847(836), Delay 55 ms, IGT 00:41.758, RTA 00:52.929-00:52.984
Tick 853(842), Delay 56 ms, IGT 00:42.058, RTA 00:53.228-00:53.284
Tick 859(848), Delay 56 ms, IGT 00:42.358, RTA 00:53.528-00:53.584
Tick 861(850), Delay 44 ms, IGT 00:42.458, RTA 00:53.631-00:53.675
Tick 863(852), Delay 55 ms, IGT 00:42.558, RTA 00:53.729-00:53.784
Tick 866(855), Delay 45 ms, IGT 00:42.708, RTA 00:53.884-00:53.929
Tick 878(867), Delay 55 ms, IGT 00:43.308, RTA 00:54.482-00:54.537
Tick 879(868), Delay 42 ms, IGT 00:43.358, RTA 00:54.537-00:54.579
Tick 881(870), Delay 45 ms, IGT 00:43.458, RTA 00:54.632-00:54.677
Tick 882(871), Delay 56 ms, IGT 00:43.508, RTA 00:54.677-00:54.733
Tick 883(872), Delay 42 ms, IGT 00:43.558, RTA 00:54.733-00:54.775
Tick 886(875), Delay 59 ms, IGT 00:43.708, RTA 00:54.875-00:54.934
Tick 888(877), Delay 44 ms, IGT 00:43.808, RTA 00:54.983-00:55.027
Tick 889(878), Delay 58 ms, IGT 00:43.858, RTA 00:55.027-00:55.085
Tick 897(886), Delay 57 ms, IGT 00:44.258, RTA 00:55.429-00:55.486
Tick 901(890), Delay 57 ms, IGT 00:44.458, RTA 00:55.628-00:55.685
Tick 912(901), Delay 42 ms, IGT 00:45.008, RTA 00:56.185-00:56.227
Tick 913(902), Delay 55 ms, IGT 00:45.058, RTA 00:56.227-00:56.282
Tick 928(917), Delay 57 ms, IGT 00:45.808, RTA 00:56.979-00:57.036
Tick 929(918), Delay 45 ms, IGT 00:45.858, RTA 00:57.036-00:57.081
Tick 937(926), Delay 44 ms, IGT 00:46.258, RTA 00:57.432-00:57.476
Tick 938(927), Delay 56 ms, IGT 00:46.308, RTA 00:57.476-00:57.532
Tick 941(930), Delay 55 ms, IGT 00:46.458, RTA 00:57.627-00:57.682
Tick 943(932), Delay 44 ms, IGT 00:46.558, RTA 00:57.732-00:57.776
Tick 944(933), Delay 55 ms, IGT 00:46.608, RTA 00:57.776-00:57.831
Tick 949(938), Delay 44 ms, IGT 00:46.858, RTA 00:58.035-00:58.079
Tick 952(941), Delay 56 ms, IGT 00:47.008, RTA 00:58.178-00:58.234
Tick 958(947), Delay 55 ms, IGT 00:47.308, RTA 00:58.478-00:58.533
