Tick 585(584), Delay 58 ms, IGT 00:29.152, RTA 00:29.063-00:29.121
Tick 589(588), Delay 57 ms, IGT 00:29.352, RTA 00:29.266-00:29.323
Tick 590(589), Delay 45 ms, IGT 00:29.402, RTA 00:29.323-00:29.368
Tick 593(592), Delay 58 ms, IGT 00:29.552, RTA 00:29.464-00:29.522
Tick 597(596), Delay 64 ms, IGT 00:29.752, RTA 00:29.668-00:29.732
Tick 598(597), Delay 29 ms, IGT 00:29.802, RTA 00:29.732-00:29.761
Tick 599(598), Delay 56 ms, IGT 00:29.852, RTA 00:29.761-00:29.817
Tick 600(599), Delay 55 ms, IGT 00:29.902, RTA 00:29.817-00:29.872
Tick 602(601), Delay 42 ms, IGT 00:30.002, RTA 00:29.918-00:29.960
Tick 603(602), Delay 58 ms, IGT 00:30.052, RTA 00:29.960-00:30.018
Tick 606(605), Delay 62 ms, IGT 00:30.202, RTA 00:30.122-00:30.184
Tick 607(606), Delay 42 ms, IGT 00:30.252, RTA 00:30.184-00:30.226
Tick 608(607), Delay 40 ms, IGT 00:30.302, RTA 00:30.226-00:30.266
Tick 609(608), Delay 57 ms, IGT 00:30.352, RTA 00:30.266-00:30.323
Tick 614(613), Delay 40 ms, IGT 00:30.602, RTA 00:30.522-00:30.562
Tick 617(616), Delay 59 ms, IGT 00:30.752, RTA 00:30.665-00:30.724
Tick 618(617), Delay 40 ms, IGT 00:30.802, RTA 00:30.724-00:30.764
Tick 619(618), Delay 60 ms, IGT 00:30.852, RTA 00:30.764-00:30.824
Tick 621(620), Delay 43 ms, IGT 00:30.952, RTA 00:30.871-00:30.914
